iter	Passed	Remaining
0	79	79739
1	93	46872
2	106	35472
3	121	30347
4	135	26911
5	147	24444
6	159	22674
7	171	21269
8	182	20120
9	194	19288
10	208	18709
11	223	18441
12	233	17736
13	246	17369
14	258	16989
15	271	16719
16	283	16368
17	293	16036
18	308	15927
19	318	15590
20	327	15288
21	340	15142
22	355	15079
23	369	15011
24	379	14791
25	393	14729
26	407	14673
27	418	14521
28	430	14404
29	441	14276
30	455	14235
31	466	14111
32	479	14038
33	496	14110
34	511	14105
35	524	14056
36	542	14109
37	557	14118
38	571	14075
39	583	14006
40	594	13907
41	608	13881
42	625	13912
43	636	13828
44	647	13738
45	660	13688
46	669	13576
47	679	13472
48	695	13495
49	704	13391
50	714	13293
51	731	13331
52	743	13289
53	759	13310
54	769	13222
55	782	13195
56	799	13231
57	814	13231
58	826	13182
59	840	13170
60	854	13152
61	867	13127
62	881	13104
63	891	13039
64	902	12985
65	913	12924
66	928	12931
67	942	12924
68	956	12904
69	968	12865
70	979	12810
71	1000	12889
72	1020	12957
73	1038	12998
74	1049	12944
75	1066	12962
76	1081	12961
77	1096	12960
78	1113	12980
79	1124	12934
80	1135	12887
81	1152	12900
82	1162	12846
83	1176	12824
84	1189	12802
85	1202	12780
86	1213	12738
87	1229	12745
88	1242	12719
89	1253	12677
90	1264	12632
91	1280	12633
92	1290	12587
93	1316	12684
94	1324	12617
95	1339	12612
96	1347	12547
97	1360	12518
98	1374	12512
99	1388	12494
100	1400	12470
101	1416	12468
102	1427	12430
103	1440	12411
104	1452	12379
105	1468	12381
106	1479	12346
107	1496	12357
108	1509	12336
109	1522	12315
110	1534	12290
111	1550	12290
112	1560	12248
113	1576	12248
114	1589	12235
115	1602	12211
116	1617	12208
117	1632	12204
118	1642	12163
119	1661	12183
120	1672	12150
121	1689	12156
122	1705	12161
123	1718	12143
124	1734	12139
125	1748	12125
126	1764	12130
127	1777	12107
128	1789	12083
129	1798	12039
130	1812	12023
131	1827	12015
132	1840	11998
133	1856	12000
134	1872	11995
135	1883	11968
136	1896	11943
137	1907	11913
138	1923	11916
139	1937	11902
140	1946	11859
141	1960	11843
142	1975	11839
143	1986	11806
144	2000	11798
145	2011	11763
146	2022	11734
147	2034	11711
148	2046	11688
149	2058	11663
150	2074	11661
151	2085	11637
152	2098	11614
153	2113	11609
154	2126	11595
155	2142	11590
156	2155	11576
157	2166	11547
158	2175	11507
159	2185	11475
160	2194	11438
161	2209	11428
162	2218	11393
163	2234	11390
164	2250	11386
165	2259	11354
166	2272	11334
167	2289	11339
168	2306	11343
169	2324	11350
170	2341	11350
171	2359	11356
172	2371	11335
173	2386	11329
174	2407	11348
